DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Dec-2025,Rank_Dec-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS,DBMS_urnform
Virtuoso,Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,3.03,90,openlink,virtuoso-opensource,OpenLink Software,1998,2023,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1.0,0.0,virtuoso
DolphinDB,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,3.03,91,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,dolphindb
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,3.02,92,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,arangodb
Apache Ignite,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Apache+Ignite,,,,2.9,93,,,Apache Software Foundation,2015,2023,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,apache-ignite
Microsoft Azure Table Storage,Wide column,Wide column store,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,2.82,94,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,microsoft-azure-table-storage
HyperSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,2.8,95,ryenus,hsqldb,,2001,2023,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,hypersql
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,2.79,96,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,google-cloud-spanner
GemFire,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/GemFire,N,Y,-,2.73,97,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,gemfire
SingleStore,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/SingleStore,N,,-,2.71,98,-,-,SingleStore Inc.,2013,2024,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.0,1.0,singlestore
OceanBase,Relational,"Relational DBMS,Vector DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,2.69,99,oceanbase,oceanbase,OceanBase,2010,2024,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,oceanbase
Google Cloud Bigtable,Key-value,"Key-value store,Wide column store",https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,2.61,100,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,google-cloud-bigtable
OrientDB,Document,"Document store,Graph DBMS,Key-value store",https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,2.59,101,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2024,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,orientdb
Chroma,Vector,Vector DBMS,https://db-engines.com/en/system/Chroma,Y,,chroma-core/chroma,2.57,102,chroma-core,chroma,Chroma,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,chroma
Apache Jena - TDB,RDF,RDF store,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,2.56,103,apache,jena,Apache Software Foundation,2000,2023,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,apache-jena-tdb
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,2.53,104,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ibm-cloudant
Alibaba Cloud PolarDB,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,2.51,105,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,alibaba-cloud-polardb
Amazon Neptune,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Amazon+Neptune,N,,-,2.51,106,-,-,Amazon,2017,,N,,Y,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,amazon-neptune
Coveo,Search Engine,Search engine,https://db-engines.com/en/system/Coveo,N,,-,2.48,107,-,-,Coveo,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,coveo
GraphDB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/GraphDB,N,,-,2.42,108,-,-,"Ontotext, trading as Graphwise",2000,2025,N,Some plugins of GraphDB Workbench are open sourced,N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,graphdb
Apache Accumulo,Wide column,Wide column store,https://db-engines.com/en/system/Apache+Accumulo,,,,2.42,109,,,,2008,2022,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,apache-accumulo
RavenDB,Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,2.41,110,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0,ravendb
SAP IQ,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+IQ,N,,-,2.38,111,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,sap-iq
NebulaGraph,Graph,Graph DBMS,https://db-engines.com/en/system/NebulaGraph,Y_archivedas_nebula-graph,Y,vesoft-inc/nebula,2.35,112,vesoft-inc,nebula,Vesoft Inc.,2019,,Y,Apache Version 2.0 + Common Clause 1.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,nebulagraph
RethinkDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,2.3,113,rethinkdb,rethinkdb,The Linux Foundation,2009,2020,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,rethinkdb
Citus,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Citus,Y,,citusdata/citus,2.21,114,citusdata,citus,,2010,2018,Y,"AGPL, commercial license also available",N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,citus
Memgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Memgraph,Y,,memgraph/memgraph,2.19,115,memgraph,memgraph,Memgraph Ltd,2017,,Y,BSL 1.1; commercial license for enterprise edition available,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,memgraph
Apache Phoenix,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,2.16,116,apache,phoenix,Apache Software Foundation,2014,2019,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,apache-phoenix
YugabyteDB,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,2.15,117,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2024,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,yugabytedb
InterSystems IRIS,Document,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/InterSystems+IRIS,N,,-,2.15,118,-,-,InterSystems,2018,2023,N,,N,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,intersystems-iris
Valkey,Key-value,Key-value store,https://db-engines.com/en/system/Valkey,,,,2.08,119,,,,2024,2024,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,valkey
4D,Relational,Relational DBMS,https://db-engines.com/en/system/4D,N,,-,2.05,120,-,-,"4D, Inc",1984,2023,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4d
"UniData,UniVerse",Multivalue,Multivalue DBMS,https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,2.05,121,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,unidata-universe
Percona Server for MySQL,Relational,Relational DBMS,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y_replacementfor_MySQL,N,percona/percona-server,2.01,122,percona,percona-server,Percona,2008,2024,Y,GPL version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,percona-server-for-mysql
LMDB,Key-value,Key-value store,https://db-engines.com/en/system/LMDB,Y,,LMDB/lmdb,1.96,123,LMDB,lmdb,Symas,2011,2024,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,lmdb
Infinispan,Key-value,Key-value store,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,1.95,124,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,infinispan
CloudKit,Document,Document store,https://db-engines.com/en/system/CloudKit,Y,,jcrosby/cloudkit,1.93,125,jcrosby,cloudkit,,2016,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,cloudkit
Amazon DocumentDB,Document,Document store,https://db-engines.com/en/system/Amazon+DocumentDB,N,,-,1.92,126,-,-,,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,amazon-documentdb
LevelDB,Key-value,Key-value store,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,1.9,127,google,leveldb,Google,2011,2021,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,leveldb
PouchDB,Document,Document store,https://db-engines.com/en/system/PouchDB,Y,N,pouchdb/pouchdb,1.89,128,pouchdb,pouchdb,Apache Software Foundation,2012,2019,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,pouchdb
VictoriaMetrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/VictoriaMetrics,Y,,VictoriaMetrics/VictoriaMetrics,1.89,129,VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,victoriametrics
GBase,Relational,Relational DBMS,https://db-engines.com/en/system/GBase,N,,-,1.87,130,-,-,"General Data Technology Co., Ltd.",2004,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,gbase
MaxDB,Relational,Relational DBMS,https://db-engines.com/en/system/MaxDB,N,,-,1.87,131,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2024,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,maxdb
Apache Drill,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,1.87,132,apache,drill,Apache Software Foundation,2012,2023,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,apache-drill
Apache IoTDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/Apache+IoTDB,Y,N,apache/iotdb,1.85,133,apache,iotdb,Apache Software Foundation,2018,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,apache-iotdb
Amazon CloudSearch,Search Engine,Search engine,https://db-engines.com/en/system/Amazon+CloudSearch,N,,-,1.83,134,-,-,Amazon,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,amazon-cloudsearch
JanusGraph,Graph,Graph DBMS,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,1.82,135,JanusGraph,janusgraph,"Linux Foundation; originally developed as,Titan,by Aurelius",2017,2023,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,janusgraph
SpatiaLite,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,1.8,136,illarionov,SpatiaLite,Alessandro Furieri,2008,2020,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,spatialite
TDengine,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TDengine,Y,,taosdata/TDengine,1.8,137,taosdata,TDengine,"TDEngine, previously Taos Data",2019,2022,Y,"AGPL V3, also commercial editions available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,tdengine
EDB Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/EDB+Postgres,N,,-,1.77,138,-,-,EnterpriseDB,2005,2021,N,BSD for PostgreSQL-components,N,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,edb-postgres
Oracle Coherence,Key-value,Key-value store,https://db-engines.com/en/system/Oracle+Coherence,Y_CommunityEdition,,oracle/coherence,1.74,139,oracle,coherence,Oracle,2007,2023,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,oracle-coherence
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,1.73,140,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,stardog
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,1.72,141,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,griddb
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,1.68,142,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,tigergraph
Oracle Berkeley DB,Key-value,"Key-value store,Native XML DBMS",https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,1.65,143,berkeleydb,libdb,Oracle,1994,2020,Y,commercial license available,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,oracle-berkeley-db
RRDtool,Time Series,Time Series DBMS,https://db-engines.com/en/system/RRDtool,Y,,oetiker/rrdtool-1.x,1.62,144,oetiker,rrdtool-1.x,Tobias Oetiker,1999,2022,Y,GPL V2 and FLOSS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,rrdtool
Amazon SimpleDB,Key-value,Key-value store,https://db-engines.com/en/system/Amazon+SimpleDB,N,,-,1.62,145,-,-,Amazon,2007,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,amazon-simpledb
EXASOL,Relational,Relational DBMS,https://db-engines.com/en/system/EXASOL,N,,-,1.61,146,-,-,Exasol,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,exasol
StarRocks,Relational,Relational DBMS,https://db-engines.com/en/system/StarRocks,Y,,StarRocks/StarRocks,1.59,147,StarRocks,StarRocks,The Linux Foundation,2020,2024,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,starrocks
PlanetScale,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/PlanetScale,N,,-,1.55,148,-,-,PlanetScale,2020,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,planetscale
HFSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HFSQL,N,,-,1.55,149,-,-,PC Soft,,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,hfsql
OpenTSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,1.52,150,OpenTSDB,opentsdb,currently maintained by Yahoo and other contributors,2011,,Y,LGPL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,opentsdb
MonetDB,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MonetDB,Y,,MonetDB/MonetDB,1.51,151,MonetDB,MonetDB,MonetDB BV,2004,2023,Y,Mozilla Public License 2.0,N,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,monetdb
Datomic,Relational,Relational DBMS,https://db-engines.com/en/system/Datomic,N,,-,1.51,152,-,-,Cognitect,2012,2024,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,datomic
BaseX,Native XML,Native XML DBMS,https://db-engines.com/en/system/BaseX,Y,,BaseXdb/basex,1.5,153,BaseXdb,basex,BaseX GmbH,2007,2024,Y,BSD license,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,basex
Meilisearch,Search Engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Meilisearch,Y,,meilisearch/meilisearch,1.47,154,meilisearch,meilisearch,,2020,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,meilisearch
Fauna,Document,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Fauna,N,,-,1.47,155,-,-,"Fauna, Inc.",2014,,N,,Y,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,fauna
IMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IMS,N,,-,1.46,156,-,-,IBM,1966,2025,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,ims
SurrealDB,Document,"Document store,Graph DBMS",https://db-engines.com/en/system/SurrealDB,Y,,surrealdb/surrealdb,1.4,157,surrealdb,surrealdb,SurrealDB Ltd,2022,2024,Y,,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,surrealdb
Tarantool,Document,"Document store,Key-value store,Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Tarantool,Y,,tarantool/tarantool,1.39,158,tarantool,tarantool,VK,2008,2022,Y,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",N,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,tarantool
GridGain,Columnar,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,1.37,159,gridgain,gridgain,"GridGain Systems, Inc.",2007,,"commercial, open source",,N,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,gridgain
Geode,Key-value,Key-value store,https://db-engines.com/en/system/Geode,Y,,apache/geode,1.35,160,apache,geode,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002,2017,Y,Apache Version 2; commercial licenses available as Gemfire,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,geode
jBASE,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/jBASE,N,,-,1.33,161,-,-,Rocket Software (formerly Zumasys),1991,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,jbase
Amazon Timestream,Time Series,Time Series DBMS,https://db-engines.com/en/system/Amazon+Timestream,N,,-,1.32,162,-,-,,2018,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,amazon-timestream
Vitess,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Vitess,Y,,vitessio/vitess,1.31,163,vitessio,vitess,"The Linux Foundation, PlanetScale",2013,2022,Y,"Apache Version 2.0, commercial licenses available",N,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,vitess
Dgraph,Graph,Graph DBMS,https://db-engines.com/en/system/Dgraph,Y,Y,dgraph-io/dgraph,1.28,164,dgraph-io,dgraph,"Dgraph Labs, Inc.",2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,dgraph
Empress,Relational,Relational DBMS,https://db-engines.com/en/system/Empress,N,,-,1.28,165,-,-,,1981,2010,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,empress
VoltDB,Relational,Relational DBMS,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,1.26,166,VoltDB,voltdb,VoltDB Inc.,2010,2022,Y,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,voltdb
Mnesia,Document,Document store,https://db-engines.com/en/system/Mnesia,Y,,beardedeagle/mnesiac,1.25,167,beardedeagle,mnesiac,Ericsson,1999,2018,Y,proprietary license,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,mnesia
D3,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/D3,N,,-,1.23,168,-,-,"Rocket, formerly TigerLogic",1999,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,d3
Actian NoSQL Database,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+NoSQL+Database,N,,-,1.23,169,-,-,Actian,1988,2017,N,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,actian-nosql-database
TDSQL for MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/TDSQL+for+MySQL,N,,-,1.21,170,-,-,Tencent,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,tdsql-for-mysql
IBM Db2 warehouse,Relational,Relational DBMS,https://db-engines.com/en/system/IBM+Db2+warehouse,N,,-,1.21,171,-,-,IBM,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,ibm-db2-warehouse
Db4o,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,1.21,172,iboxdb,db4o-gpl,,2001,,Y,commercial license available for existing customers only,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,db4o
ObjectBox,Object Oriented,"Object oriented DBMS,Vector DBMS,Time Series DBMS",https://db-engines.com/en/system/ObjectBox,Y,,objectbox/objectbox-java,1.2,173,objectbox,objectbox-java,ObjectBox Limited,2017,2024,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,objectbox
openGauss,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/openGauss,Y,,opengauss-mirror/openGauss-server,1.19,174,opengauss-mirror,openGauss-server,Huawei and openGauss community,2019,2022,Y,,N,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,opengauss
HEAVY.AI,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/HEAVY.AI,Y,Y,heavyai/heavydb,1.19,175,heavyai,heavydb,"HEAVY.AI, Inc.",2016,2022,Y,Apache Version 2; enterprise edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,heavyai
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,1.19,176,-,-,Open Text,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,sqlbase
Apache Kylin,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Kylin,Y,Y,apache/kylin,1.18,177,apache,kylin,"Apache Software Foundation, originally contributed from eBay Inc",2015,2020,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,apache-kylin
Rockset,Document,"Document store,Relational DBMS,Search engine",https://db-engines.com/en/system/Rockset,N,,-,1.17,178,-,-,Rockset,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,rockset
ObjectStore,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectStore,N,,-,1.17,179,-,-,Ignite Technologies,1988,2014,N,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,objectstore
LiteDB,Document,Document store,https://db-engines.com/en/system/LiteDB,Y,,mbdavid/LiteDB,1.14,180,mbdavid,LiteDB,Mauricio David,2014,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,litedb
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.13,181,-,-,,2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,datameer
KurrentDB (aka EventStoreDB),Event,"Event Store,Document store,Time Series DBMS",https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,,,,1.11,182,,,"Kurrent, Inc. (aka EventStoreDB)",2012,2025,source available,,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,kurrentdb-aka-eventstoredb
Typesense,Search Engine,Search engine,https://db-engines.com/en/system/Typesense,Y,,typesense/typesense,1.11,183,typesense,typesense,,2015,,Y,GPL V3,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,typesense
